clab19,leave,outright,mortgage,one,married,cnone,cone,ctwo,qnone,qfour,healthvg,healthg,depnone,depone,region
43.93143705,64.79230497,39.41918262,30.88871502,33.47523932,29.8877025,22.14653903,45.23656112,25.10355302,26.00108847,20.14754792,41.5968222,36.83927138,38.15583579,35.74650221,South East
11.53511254,70.3942464,33.13046879,33.55575109,29.05851298,35.21288556,22.89436379,42.5306741,26.43838295,32.7834839,16.32408469,40.81060197,33.61383676,35.99745808,31.29491128,East Midlands
0.867848287,58.11275967,29.91768448,30.72384236,34.30541728,30.3960372,31.67326324,41.71867033,21.71284268,26.91868028,21.7246771,44.54285954,33.89723785,37.48634145,32.62996868,North West
-18.71244212,63.0276743,27.06521739,30.37681159,32.43236715,31.05797101,33.17391304,44.27294686,18.72463768,30.84695356,16.37858722,44.17525824,33.77888292,33.05072464,32.73188406,North West
17.96218914,55.55402654,33.89402234,38.46954195,29.06582109,36.29202071,20.57621324,43.13176605,29.12279833,22.11005594,27.34486796,46.8542048,33.89439607,45.85676419,30.51997919,North West
-70.27290845,54.79967454,23.75898183,32.36274832,34.44089607,26.79988729,41.80012211,40.41703846,14.84290612,31.17864021,16.51204069,44.40776443,31.43861289,31.59254215,31.03836942,North West
61.44714121,75.64987141,35.51450946,27.99835613,29.4276125,32.72220827,22.09639489,46.32297541,23.91150483,34.7569921,14.430221,39.25691358,36.37642107,31.7404507,35.69031256,East Midlands
46.56577828,60.82936386,36.74327881,39.29780034,28.42404587,37.70445572,14.94171837,41.6713668,33.14062794,24.81724739,23.65703118,46.03182678,35.8397265,47.01306637,31.99144576,East Midlands
17.87149409,53.69069461,27.11609343,30.76050686,36.70367059,26.87836688,25.05943164,45.02628078,23.39316482,18.59869919,28.08002066,46.7009946,34.37622367,41.85732045,33.1813919,South West
22.07625552,57.73176661,28.51208545,28.75402278,35.68347294,24.87389588,25.76632506,44.38408691,22.83797047,20.90739119,23.42910563,45.33687657,34.74658475,39.8078196,34.42813777,South West
36.48390064,53.2448746,26.01459785,42.84729322,26.84434512,39.61151661,14.14612111,37.99006205,35.94541262,16.48421482,30.4996343,51.67622009,34.67462732,52.53798055,30.58890659,South East
-41.06463878,55.15782934,25.37672848,33.96638614,27.99086418,33.31347285,36.67237655,42.82416027,16.76721035,32.87681159,15.65821256,43.63556493,35.9102091,30.11345299,33.65110102,Yorkshire and The Humber
-5.903223371,63.56121775,25.13106963,38.14983586,29.20280269,31.73109902,32.02753687,43.9560978,19.804988,30.93699205,16.1493863,43.02427495,35.95745728,35.03846342,33.42152972,Yorkshire and The Humber
-61.04471205,46.74085444,25.75277981,30.37091145,29.8541785,32.92481671,38.56288721,40.44314585,16.40018397,30.55864599,19.68635341,43.87204712,36.01746238,28.4203122,35.05397289,Yorkshire and The Humber
48.85839324,61.51564016,31.08338481,38.142063,26.61890056,39.08585547,15.03150093,39.08338481,33.43545398,22.32951578,22.02249768,47.76880621,35.5345462,46.46324892,32.44966028,East of England
43.59737651,51.85508645,45.54371833,23.96063401,32.30804209,33.05833442,15.14551124,43.64037937,29.67714694,24.39644878,27.84209889,44.39065277,33.60839343,41.52591919,34.68883981,Wales
-42.4774078,42.88758826,16.60316384,18.75760538,29.61958148,24.54068503,48.76219354,38.37698737,10.23758703,20.86069037,29.79448556,48.03402261,34.33984779,27.60677452,36.95066728,London
-15.57277511,42.61175105,27.03548805,28.29016558,21.7673099,35.08694695,31.19573459,41.99134199,20.13843031,18.82620995,32.92752392,46.83384702,36.27377728,32.02240321,37.8702277,London
-18.02626616,43.30890315,21.61384414,27.86249829,30.4406554,31.27654993,33.94475657,45.84108216,16.01315506,13.78038236,42.79757902,51.81321759,33.77905349,42.74416146,33.69026878,London
